Trial 1/3 || Cycle 1/10 || Label set size 1000: Test acc 13.29
Trial 1/3 || Cycle 2/10 || Label set size 2000: Test acc 19.02
Trial 1/3 || Cycle 3/10 || Label set size 3000: Test acc 22.8
Trial 1/3 || Cycle 4/10 || Label set size 4000: Test acc 27.83
Trial 1/3 || Cycle 5/10 || Label set size 5000: Test acc 33.29
Trial 1/3 || Cycle 6/10 || Label set size 6000: Test acc 39.74
Trial 1/3 || Cycle 7/10 || Label set size 7000: Test acc 44.31
Trial 1/3 || Cycle 8/10 || Label set size 8000: Test acc 48.42
Trial 1/3 || Cycle 9/10 || Label set size 9000: Test acc 51.54
Trial 1/3 || Cycle 10/10 || Label set size 10000: Test acc 54.04
Trial 2/3 || Cycle 1/10 || Label set size 1000: Test acc 13.04
Trial 2/3 || Cycle 2/10 || Label set size 2000: Test acc 19.36
Trial 2/3 || Cycle 3/10 || Label set size 3000: Test acc 25.26
Trial 2/3 || Cycle 4/10 || Label set size 4000: Test acc 30.78
Trial 2/3 || Cycle 5/10 || Label set size 5000: Test acc 36.16
Trial 2/3 || Cycle 6/10 || Label set size 6000: Test acc 40.9
Trial 2/3 || Cycle 7/10 || Label set size 7000: Test acc 44.35
Trial 2/3 || Cycle 8/10 || Label set size 8000: Test acc 48.03
Trial 2/3 || Cycle 9/10 || Label set size 9000: Test acc 51.31
Trial 2/3 || Cycle 10/10 || Label set size 10000: Test acc 53.49
Trial 3/3 || Cycle 1/10 || Label set size 1000: Test acc 12.72
Trial 3/3 || Cycle 2/10 || Label set size 2000: Test acc 18.57
Trial 3/3 || Cycle 3/10 || Label set size 3000: Test acc 24.2
Trial 3/3 || Cycle 4/10 || Label set size 4000: Test acc 30.67
Trial 3/3 || Cycle 5/10 || Label set size 5000: Test acc 35.05
Trial 3/3 || Cycle 6/10 || Label set size 6000: Test acc 40.51
Trial 3/3 || Cycle 7/10 || Label set size 7000: Test acc 44.06
Trial 3/3 || Cycle 8/10 || Label set size 8000: Test acc 47.22
Trial 3/3 || Cycle 9/10 || Label set size 9000: Test acc 50.53
Trial 3/3 || Cycle 10/10 || Label set size 10000: Test acc 52.99
