Trial 1/3 || Cycle 1/10 || Label set size 5000: Test acc 37.04
Trial 1/3 || Cycle 2/10 || Label set size 7500: Test acc 47.05
Trial 1/3 || Cycle 3/10 || Label set size 10000: Test acc 53.38
Trial 1/3 || Cycle 4/10 || Label set size 12500: Test acc 57.95
Trial 1/3 || Cycle 5/10 || Label set size 15000: Test acc 61.75
Trial 1/3 || Cycle 6/10 || Label set size 17500: Test acc 64.26
Trial 1/3 || Cycle 7/10 || Label set size 20000: Test acc 66.51
Trial 1/3 || Cycle 8/10 || Label set size 22500: Test acc 67.94
Trial 1/3 || Cycle 9/10 || Label set size 25000: Test acc 70.11
Trial 1/3 || Cycle 10/10 || Label set size 27500: Test acc 71.26
Trial 2/3 || Cycle 1/10 || Label set size 5000: Test acc 36.48
Trial 2/3 || Cycle 2/10 || Label set size 7500: Test acc 46.57
Trial 2/3 || Cycle 3/10 || Label set size 10000: Test acc 53.94
Trial 2/3 || Cycle 4/10 || Label set size 12500: Test acc 58.37
Trial 2/3 || Cycle 5/10 || Label set size 15000: Test acc 61.41
Trial 2/3 || Cycle 6/10 || Label set size 17500: Test acc 63.58
Trial 2/3 || Cycle 7/10 || Label set size 20000: Test acc 65.54
Trial 2/3 || Cycle 8/10 || Label set size 22500: Test acc 68.3
Trial 2/3 || Cycle 9/10 || Label set size 25000: Test acc 70.12
Trial 2/3 || Cycle 10/10 || Label set size 27500: Test acc 71.59
Trial 3/3 || Cycle 1/10 || Label set size 5000: Test acc 36.24
Trial 3/3 || Cycle 2/10 || Label set size 7500: Test acc 46.25
Trial 3/3 || Cycle 3/10 || Label set size 10000: Test acc 52.64
Trial 3/3 || Cycle 4/10 || Label set size 12500: Test acc 57.43
Trial 3/3 || Cycle 5/10 || Label set size 15000: Test acc 60.74
Trial 3/3 || Cycle 6/10 || Label set size 17500: Test acc 64.34
Trial 3/3 || Cycle 7/10 || Label set size 20000: Test acc 66.24
