>> Train a Model.>> Finished.Trial 1/3 || Cycle 1/10 || Label set size 1000: Test acc 59.91
>> Train a Model.>> Finished.Trial 1/3 || Cycle 2/10 || Label set size 2000: Test acc 71.76
>> Train a Model.>> Finished.Trial 1/3 || Cycle 3/10 || Label set size 3000: Test acc 78.25
>> Train a Model.>> Finished.Trial 1/3 || Cycle 4/10 || Label set size 4000: Test acc 81.04
>> Train a Model.>> Finished.Trial 1/3 || Cycle 5/10 || Label set size 5000: Test acc 83.73
>> Train a Model.>> Finished.Trial 1/3 || Cycle 6/10 || Label set size 6000: Test acc 86.31
>> Train a Model.>> Finished.Trial 1/3 || Cycle 7/10 || Label set size 7000: Test acc 87.74
>> Train a Model.>> Finished.Trial 1/3 || Cycle 8/10 || Label set size 8000: Test acc 88.37
>> Train a Model.>> Finished.Trial 1/3 || Cycle 9/10 || Label set size 9000: Test acc 89.31
>> Train a Model.>> Finished.Trial 1/3 || Cycle 10/10 || Label set size 10000: Test acc 90.09
>> Train a Model.>> Finished.Trial 2/3 || Cycle 1/10 || Label set size 1000: Test acc 60.38
>> Train a Model.>> Finished.Trial 2/3 || Cycle 2/10 || Label set size 2000: Test acc 72.62
>> Train a Model.>> Finished.Trial 2/3 || Cycle 3/10 || Label set size 3000: Test acc 78.33
>> Train a Model.>> Finished.Trial 2/3 || Cycle 4/10 || Label set size 4000: Test acc 81.91
>> Train a Model.>> Finished.Trial 2/3 || Cycle 5/10 || Label set size 5000: Test acc 82.8
>> Train a Model.>> Finished.Trial 2/3 || Cycle 6/10 || Label set size 6000: Test acc 85.76
>> Train a Model.>> Finished.Trial 2/3 || Cycle 7/10 || Label set size 7000: Test acc 87.35
>> Train a Model.>> Finished.Trial 2/3 || Cycle 8/10 || Label set size 8000: Test acc 88.91
>> Train a Model.>> Finished.Trial 2/3 || Cycle 9/10 || Label set size 9000: Test acc 89.3
>> Train a Model.>> Finished.Trial 2/3 || Cycle 10/10 || Label set size 10000: Test acc 89.93
>> Train a Model.>> Finished.Trial 3/3 || Cycle 1/10 || Label set size 1000: Test acc 55.82
>> Train a Model.>> Finished.Trial 3/3 || Cycle 2/10 || Label set size 2000: Test acc 68.49
>> Train a Model.>> Finished.Trial 3/3 || Cycle 3/10 || Label set size 3000: Test acc 77.37
>> Train a Model.>> Finished.Trial 3/3 || Cycle 4/10 || Label set size 4000: Test acc 82.09
>> Train a Model.>> Finished.Trial 3/3 || Cycle 5/10 || Label set size 5000: Test acc 84.07
>> Train a Model.>> Finished.Trial 3/3 || Cycle 6/10 || Label set size 6000: Test acc 86.6
>> Train a Model.>> Finished.Trial 3/3 || Cycle 7/10 || Label set size 7000: Test acc 88.03
>> Train a Model.>> Finished.Trial 3/3 || Cycle 8/10 || Label set size 8000: Test acc 88.8
>> Train a Model.>> Finished.Trial 3/3 || Cycle 9/10 || Label set size 9000: Test acc 89.96
>> Train a Model.>> Finished.Trial 3/3 || Cycle 10/10 || Label set size 10000: Test acc 91.07
