>> Train a Model.>> Finished.Trial 1/3 || Cycle 1/10 || Label set size 1000: Test acc 58.05
>> Train a Model.>> Finished.Trial 1/3 || Cycle 2/10 || Label set size 2000: Test acc 69.49
>> Train a Model.>> Finished.Trial 1/3 || Cycle 3/10 || Label set size 3000: Test acc 76.27
>> Train a Model.>> Finished.Trial 1/3 || Cycle 4/10 || Label set size 4000: Test acc 80.91
>> Train a Model.>> Finished.Trial 1/3 || Cycle 5/10 || Label set size 5000: Test acc 82.98
>> Train a Model.>> Finished.Trial 1/3 || Cycle 6/10 || Label set size 6000: Test acc 86.29
>> Train a Model.>> Finished.Trial 1/3 || Cycle 7/10 || Label set size 7000: Test acc 87.81
>> Train a Model.>> Finished.Trial 1/3 || Cycle 8/10 || Label set size 8000: Test acc 88.73
>> Train a Model.>> Finished.Trial 1/3 || Cycle 9/10 || Label set size 9000: Test acc 89.04
>> Train a Model.>> Finished.Trial 1/3 || Cycle 10/10 || Label set size 10000: Test acc 89.23
>> Train a Model.>> Finished.Trial 2/3 || Cycle 1/10 || Label set size 1000: Test acc 59.2
>> Train a Model.>> Finished.Trial 2/3 || Cycle 2/10 || Label set size 2000: Test acc 70.33
>> Train a Model.>> Finished.Trial 2/3 || Cycle 3/10 || Label set size 3000: Test acc 77.6
>> Train a Model.>> Finished.Trial 2/3 || Cycle 4/10 || Label set size 4000: Test acc 82.26
>> Train a Model.>> Finished.Trial 2/3 || Cycle 5/10 || Label set size 5000: Test acc 84.47
>> Train a Model.>> Finished.Trial 2/3 || Cycle 6/10 || Label set size 6000: Test acc 86.39
>> Train a Model.>> Finished.Trial 2/3 || Cycle 7/10 || Label set size 7000: Test acc 88.16
>> Train a Model.>> Finished.Trial 2/3 || Cycle 8/10 || Label set size 8000: Test acc 88.99
>> Train a Model.>> Finished.Trial 2/3 || Cycle 9/10 || Label set size 9000: Test acc 90.11
>> Train a Model.>> Finished.Trial 2/3 || Cycle 10/10 || Label set size 10000: Test acc 90.48
>> Train a Model.>> Finished.Trial 3/3 || Cycle 1/10 || Label set size 1000: Test acc 57.2
>> Train a Model.>> Finished.Trial 3/3 || Cycle 2/10 || Label set size 2000: Test acc 69.91
>> Train a Model.>> Finished.Trial 3/3 || Cycle 3/10 || Label set size 3000: Test acc 78.19
>> Train a Model.>> Finished.Trial 3/3 || Cycle 4/10 || Label set size 4000: Test acc 80.94
>> Train a Model.>> Finished.Trial 3/3 || Cycle 5/10 || Label set size 5000: Test acc 82.89
>> Train a Model.>> Finished.Trial 3/3 || Cycle 6/10 || Label set size 6000: Test acc 86.12
>> Train a Model.>> Finished.Trial 3/3 || Cycle 7/10 || Label set size 7000: Test acc 87.94
>> Train a Model.>> Finished.Trial 3/3 || Cycle 8/10 || Label set size 8000: Test acc 88.78
>> Train a Model.>> Finished.Trial 3/3 || Cycle 9/10 || Label set size 9000: Test acc 89.26
>> Train a Model.>> Finished.Trial 3/3 || Cycle 10/10 || Label set size 10000: Test acc 89.61
