>> Train a Model.>> Finished.Trial 1/3 || Cycle 1/10 || Label set size 1000: Test acc 57.74
>> Train a Model.>> Finished.Trial 1/3 || Cycle 2/10 || Label set size 2000: Test acc 69.33
>> Train a Model.>> Finished.Trial 1/3 || Cycle 3/10 || Label set size 3000: Test acc 76.14
>> Train a Model.>> Finished.Trial 1/3 || Cycle 4/10 || Label set size 4000: Test acc 78.24
>> Train a Model.>> Finished.Trial 1/3 || Cycle 5/10 || Label set size 5000: Test acc 78.25
>> Train a Model.>> Finished.Trial 1/3 || Cycle 6/10 || Label set size 6000: Test acc 80.69
>> Train a Model.>> Finished.Trial 1/3 || Cycle 7/10 || Label set size 7000: Test acc 81.26
>> Train a Model.>> Finished.Trial 1/3 || Cycle 8/10 || Label set size 8000: Test acc 81.51
>> Train a Model.>> Finished.Trial 1/3 || Cycle 9/10 || Label set size 9000: Test acc 81.68
>> Train a Model.>> Finished.Trial 1/3 || Cycle 10/10 || Label set size 10000: Test acc 82.05
>> Train a Model.>> Finished.Trial 2/3 || Cycle 1/10 || Label set size 1000: Test acc 56.8
>> Train a Model.>> Finished.Trial 2/3 || Cycle 2/10 || Label set size 2000: Test acc 71.44
>> Train a Model.>> Finished.Trial 2/3 || Cycle 3/10 || Label set size 3000: Test acc 78.02
>> Train a Model.>> Finished.Trial 2/3 || Cycle 4/10 || Label set size 4000: Test acc 78.87
>> Train a Model.>> Finished.Trial 2/3 || Cycle 5/10 || Label set size 5000: Test acc 79.91
>> Train a Model.>> Finished.Trial 2/3 || Cycle 6/10 || Label set size 6000: Test acc 81.92
>> Train a Model.>> Finished.Trial 2/3 || Cycle 7/10 || Label set size 7000: Test acc 81.49
>> Train a Model.>> Finished.Trial 2/3 || Cycle 8/10 || Label set size 8000: Test acc 82.79
>> Train a Model.>> Finished.Trial 2/3 || Cycle 9/10 || Label set size 9000: Test acc 82.84
>> Train a Model.>> Finished.Trial 2/3 || Cycle 10/10 || Label set size 10000: Test acc 82.3
>> Train a Model.>> Finished.Trial 3/3 || Cycle 1/10 || Label set size 1000: Test acc 53.57
>> Train a Model.>> Finished.Trial 3/3 || Cycle 2/10 || Label set size 2000: Test acc 65.84
>> Train a Model.>> Finished.Trial 3/3 || Cycle 3/10 || Label set size 3000: Test acc 74.82
>> Train a Model.>> Finished.Trial 3/3 || Cycle 4/10 || Label set size 4000: Test acc 77.86
>> Train a Model.>> Finished.Trial 3/3 || Cycle 5/10 || Label set size 5000: Test acc 79.36
>> Train a Model.>> Finished.Trial 3/3 || Cycle 6/10 || Label set size 6000: Test acc 80.37
>> Train a Model.>> Finished.Trial 3/3 || Cycle 7/10 || Label set size 7000: Test acc 81.25
>> Train a Model.>> Finished.Trial 3/3 || Cycle 8/10 || Label set size 8000: Test acc 82.08
>> Train a Model.>> Finished.Trial 3/3 || Cycle 9/10 || Label set size 9000: Test acc 81.94
>> Train a Model.>> Finished.Trial 3/3 || Cycle 10/10 || Label set size 10000: Test acc 81.69
time: 39820s
