>> Train a Model.>> Finished.Trial 1/3 || Cycle 1/10 || Label set size 1000: Test acc 57.74
>> Train a Model.>> Finished.Trial 1/3 || Cycle 2/10 || Label set size 2000: Test acc 69.4
>> Train a Model.>> Finished.Trial 1/3 || Cycle 3/10 || Label set size 3000: Test acc 77.1
>> Train a Model.>> Finished.Trial 1/3 || Cycle 4/10 || Label set size 4000: Test acc 81.55
>> Train a Model.>> Finished.Trial 1/3 || Cycle 5/10 || Label set size 5000: Test acc 84.04
>> Train a Model.>> Finished.Trial 1/3 || Cycle 6/10 || Label set size 6000: Test acc 86.01
>> Train a Model.>> Finished.Trial 1/3 || Cycle 7/10 || Label set size 7000: Test acc 86.84
>> Train a Model.>> Finished.Trial 1/3 || Cycle 8/10 || Label set size 8000: Test acc 88.3
>> Train a Model.>> Finished.Trial 1/3 || Cycle 9/10 || Label set size 9000: Test acc 89.42
>> Train a Model.>> Finished.Trial 1/3 || Cycle 10/10 || Label set size 10000: Test acc 89.83
>> Train a Model.>> Finished.Trial 2/3 || Cycle 1/10 || Label set size 1000: Test acc 56.8
>> Train a Model.>> Finished.Trial 2/3 || Cycle 2/10 || Label set size 2000: Test acc 71.48
>> Train a Model.>> Finished.Trial 2/3 || Cycle 3/10 || Label set size 3000: Test acc 78.01
>> Train a Model.>> Finished.Trial 2/3 || Cycle 4/10 || Label set size 4000: Test acc 81.54
>> Train a Model.>> Finished.Trial 2/3 || Cycle 5/10 || Label set size 5000: Test acc 83.33
>> Train a Model.>> Finished.Trial 2/3 || Cycle 6/10 || Label set size 6000: Test acc 85.85
>> Train a Model.>> Finished.Trial 2/3 || Cycle 7/10 || Label set size 7000: Test acc 87.44
>> Train a Model.>> Finished.Trial 2/3 || Cycle 8/10 || Label set size 8000: Test acc 88.32
>> Train a Model.>> Finished.Trial 2/3 || Cycle 9/10 || Label set size 9000: Test acc 89.12
>> Train a Model.>> Finished.Trial 2/3 || Cycle 10/10 || Label set size 10000: Test acc 89.95
>> Train a Model.>> Finished.Trial 3/3 || Cycle 1/10 || Label set size 1000: Test acc 53.57
>> Train a Model.>> Finished.Trial 3/3 || Cycle 2/10 || Label set size 2000: Test acc 66.97
>> Train a Model.>> Finished.Trial 3/3 || Cycle 3/10 || Label set size 3000: Test acc 75.91
>> Train a Model.>> Finished.Trial 3/3 || Cycle 4/10 || Label set size 4000: Test acc 80.66
>> Train a Model.>> Finished.Trial 3/3 || Cycle 5/10 || Label set size 5000: Test acc 82.83
>> Train a Model.>> Finished.Trial 3/3 || Cycle 6/10 || Label set size 6000: Test acc 86.32
>> Train a Model.>> Finished.Trial 3/3 || Cycle 7/10 || Label set size 7000: Test acc 88.37
>> Train a Model.>> Finished.Trial 3/3 || Cycle 8/10 || Label set size 8000: Test acc 88.86
>> Train a Model.>> Finished.Trial 3/3 || Cycle 9/10 || Label set size 9000: Test acc 89.48
>> Train a Model.>> Finished.Trial 3/3 || Cycle 10/10 || Label set size 10000: Test acc 90.37
time: 40703s
