>> Train a Model.>> Finished.Trial 1/3 || Cycle 1/10 || Label set size 500: Test acc 73.88982790411801
>> Train a Model.>> Finished.Trial 1/3 || Cycle 2/10 || Label set size 1000: Test acc 86.50122925629994
>> Train a Model.>> Finished.Trial 1/3 || Cycle 3/10 || Label set size 1500: Test acc 89.67040565457899
>> Train a Model.>> Finished.Trial 1/3 || Cycle 4/10 || Label set size 2000: Test acc 91.09173325138292
>> Train a Model.>> Finished.Trial 1/3 || Cycle 5/10 || Label set size 2500: Test acc 91.47971727105102
>> Train a Model.>> Finished.Trial 1/3 || Cycle 6/10 || Label set size 3000: Test acc 91.94068838352797
>> Train a Model.>> Finished.Trial 1/3 || Cycle 7/10 || Label set size 3500: Test acc 92.76275353411187
>> Train a Model.>> Finished.Trial 1/3 || Cycle 8/10 || Label set size 4000: Test acc 93.06622618315919
>> Train a Model.>> Finished.Trial 1/3 || Cycle 9/10 || Label set size 4500: Test acc 93.3620159803319
>> Train a Model.>> Finished.Trial 1/3 || Cycle 10/10 || Label set size 5000: Test acc 93.24677320221267
>> Train a Model.>> Finished.Trial 2/3 || Cycle 1/10 || Label set size 500: Test acc 74.90012292563
>> Train a Model.>> Finished.Trial 2/3 || Cycle 2/10 || Label set size 1000: Test acc 85.39489858635525
>> Train a Model.>> Finished.Trial 2/3 || Cycle 3/10 || Label set size 1500: Test acc 88.90596189305471
>> Train a Model.>> Finished.Trial 2/3 || Cycle 4/10 || Label set size 2000: Test acc 90.56929932390904
>> Train a Model.>> Finished.Trial 2/3 || Cycle 5/10 || Label set size 2500: Test acc 91.43362015980333
>> Train a Model.>> Finished.Trial 2/3 || Cycle 6/10 || Label set size 3000: Test acc 92.0059926244622
>> Train a Model.>> Finished.Trial 2/3 || Cycle 7/10 || Label set size 3500: Test acc 92.33251382913338
>> Train a Model.>> Finished.Trial 2/3 || Cycle 8/10 || Label set size 4000: Test acc 93.31207744314689
>> Train a Model.>> Finished.Trial 2/3 || Cycle 9/10 || Label set size 4500: Test acc 93.03165334972341
>> Train a Model.>> Finished.Trial 2/3 || Cycle 10/10 || Label set size 5000: Test acc 93.26982175783651
>> Train a Model.>> Finished.Trial 3/3 || Cycle 1/10 || Label set size 500: Test acc 70.74754148740013
>> Train a Model.>> Finished.Trial 3/3 || Cycle 2/10 || Label set size 1000: Test acc 84.72649047326368
>> Train a Model.>> Finished.Trial 3/3 || Cycle 3/10 || Label set size 1500: Test acc 88.59480639213275
>> Train a Model.>> Finished.Trial 3/3 || Cycle 4/10 || Label set size 2000: Test acc 91.15319606637983
>> Train a Model.>> Finished.Trial 3/3 || Cycle 5/10 || Label set size 2500: Test acc 91.5680700676091
>> Train a Model.>> Finished.Trial 3/3 || Cycle 6/10 || Label set size 3000: Test acc 92.61293792255685
>> Train a Model.>> Finished.Trial 3/3 || Cycle 7/10 || Label set size 3500: Test acc 93.22756607252612
>> Train a Model.>> Finished.Trial 3/3 || Cycle 8/10 || Label set size 4000: Test acc 93.37738168408113
>> Train a Model.>> Finished.Trial 3/3 || Cycle 9/10 || Label set size 4500: Test acc 93.85755992624462
>> Train a Model.>> Finished.Trial 3/3 || Cycle 10/10 || Label set size 5000: Test acc 93.81146281499693
time: 39347s
