>> Train a Model.>> Finished.Trial 1/3 || Cycle 1/10 || Label set size 500: Test acc 73.88982790411801
>> Train a Model.>> Finished.Trial 1/3 || Cycle 2/10 || Label set size 1000: Test acc 85.77519975414874
>> Train a Model.>> Finished.Trial 1/3 || Cycle 3/10 || Label set size 1500: Test acc 90.03918254456055
>> Train a Model.>> Finished.Trial 1/3 || Cycle 4/10 || Label set size 2000: Test acc 90.90734480639213
>> Train a Model.>> Finished.Trial 1/3 || Cycle 5/10 || Label set size 2500: Test acc 91.85233558696989
>> Train a Model.>> Finished.Trial 1/3 || Cycle 6/10 || Label set size 3000: Test acc 92.43239090350338
>> Train a Model.>> Finished.Trial 1/3 || Cycle 7/10 || Label set size 3500: Test acc 93.06622618315919
>> Train a Model.>> Finished.Trial 1/3 || Cycle 8/10 || Label set size 4000: Test acc 92.93177627535341
>> Train a Model.>> Finished.Trial 1/3 || Cycle 9/10 || Label set size 4500: Test acc 93.42347879532882
>> Train a Model.>> Finished.Trial 1/3 || Cycle 10/10 || Label set size 5000: Test acc 93.52335586969883
>> Train a Model.>> Finished.Trial 2/3 || Cycle 1/10 || Label set size 500: Test acc 74.90012292563
>> Train a Model.>> Finished.Trial 2/3 || Cycle 2/10 || Label set size 1000: Test acc 85.29118008604794
>> Train a Model.>> Finished.Trial 2/3 || Cycle 3/10 || Label set size 1500: Test acc 88.99431468961278
>> Train a Model.>> Finished.Trial 2/3 || Cycle 4/10 || Label set size 2000: Test acc 90.97649047326368
>> Train a Model.>> Finished.Trial 2/3 || Cycle 5/10 || Label set size 2500: Test acc 91.34910878918255
>> Train a Model.>> Finished.Trial 2/3 || Cycle 6/10 || Label set size 3000: Test acc 92.30178242163491
>> Train a Model.>> Finished.Trial 2/3 || Cycle 7/10 || Label set size 3500: Test acc 92.63982790411801
>> Train a Model.>> Finished.Trial 2/3 || Cycle 8/10 || Label set size 4000: Test acc 93.2160417947142
>> Train a Model.>> Finished.Trial 2/3 || Cycle 9/10 || Label set size 4500: Test acc 93.0700676090965
>> Train a Model.>> Finished.Trial 2/3 || Cycle 10/10 || Label set size 5000: Test acc 93.45421020282728
>> Train a Model.>> Finished.Trial 3/3 || Cycle 1/10 || Label set size 500: Test acc 70.74754148740013
>> Train a Model.>> Finished.Trial 3/3 || Cycle 2/10 || Label set size 1000: Test acc 83.61631837738169
>> Train a Model.>> Finished.Trial 3/3 || Cycle 3/10 || Label set size 1500: Test acc 88.74078057775046
>> Train a Model.>> Finished.Trial 3/3 || Cycle 4/10 || Label set size 2000: Test acc 90.58850645359557
>> Train a Model.>> Finished.Trial 3/3 || Cycle 5/10 || Label set size 2500: Test acc 92.03288260602335
>> Train a Model.>> Finished.Trial 3/3 || Cycle 6/10 || Label set size 3000: Test acc 92.5361094038107
>> Train a Model.>> Finished.Trial 3/3 || Cycle 7/10 || Label set size 3500: Test acc 92.9740319606638
>> Train a Model.>> Finished.Trial 3/3 || Cycle 8/10 || Label set size 4000: Test acc 93.52335586969883
>> Train a Model.>> Finished.Trial 3/3 || Cycle 9/10 || Label set size 4500: Test acc 93.81146281499693
>> Train a Model.>> Finished.Trial 3/3 || Cycle 10/10 || Label set size 5000: Test acc 93.75384142593731
time: 30306s
