Trial 1/3 || Cycle 1/10 || Label set size 500: Test acc 66.46819299323909
Trial 1/3 || Cycle 2/10 || Label set size 1000: Test acc 84.37307928703135
Trial 1/3 || Cycle 3/10 || Label set size 1500: Test acc 88.1799323909035
Trial 1/3 || Cycle 4/10 || Label set size 2000: Test acc 90.5577750460971
Trial 1/3 || Cycle 5/10 || Label set size 2500: Test acc 91.62953288260603
Trial 1/3 || Cycle 6/10 || Label set size 3000: Test acc 92.25952673632452
Trial 1/3 || Cycle 7/10 || Label set size 3500: Test acc 92.9240934234788
Trial 1/3 || Cycle 8/10 || Label set size 4000: Test acc 93.46957590657652
Trial 1/3 || Cycle 9/10 || Label set size 4500: Test acc 93.75384142593731
Trial 1/3 || Cycle 10/10 || Label set size 5000: Test acc 93.87676705593117
Trial 2/3 || Cycle 1/10 || Label set size 500: Test acc 72.15350338045482
Trial 2/3 || Cycle 2/10 || Label set size 1000: Test acc 84.34234787953288
Trial 2/3 || Cycle 3/10 || Label set size 1500: Test acc 89.00968039336202
Trial 2/3 || Cycle 4/10 || Label set size 2000: Test acc 91.279963122311
Trial 2/3 || Cycle 5/10 || Label set size 2500: Test acc 91.7639827904118
Trial 2/3 || Cycle 6/10 || Label set size 3000: Test acc 92.66287645974185
Trial 2/3 || Cycle 7/10 || Label set size 3500: Test acc 93.01244622003688
Trial 2/3 || Cycle 8/10 || Label set size 4000: Test acc 93.57329440688383
Trial 2/3 || Cycle 9/10 || Label set size 4500: Test acc 93.38122311001844
Trial 2/3 || Cycle 10/10 || Label set size 5000: Test acc 93.75384142593731
Trial 3/3 || Cycle 1/10 || Label set size 500: Test acc 72.13045482483098
Trial 3/3 || Cycle 2/10 || Label set size 1000: Test acc 84.56515058389674
Trial 3/3 || Cycle 3/10 || Label set size 1500: Test acc 88.06468961278426
Trial 3/3 || Cycle 4/10 || Label set size 2000: Test acc 91.0379532882606
Trial 3/3 || Cycle 5/10 || Label set size 2500: Test acc 91.82928703134604
Trial 3/3 || Cycle 6/10 || Label set size 3000: Test acc 93.13537185003074
Trial 3/3 || Cycle 7/10 || Label set size 3500: Test acc 93.47341733251383
Trial 3/3 || Cycle 8/10 || Label set size 4000: Test acc 94.19560540872772
Trial 3/3 || Cycle 9/10 || Label set size 4500: Test acc 93.78457283343577
Trial 3/3 || Cycle 10/10 || Label set size 5000: Test acc 93.75768285187462
