Trial 1/3 || Cycle 1/10 || Label set size 1000: Test acc 81.3421942224954
Trial 1/3 || Cycle 2/10 || Label set size 2000: Test acc 88.2721266133989
Trial 1/3 || Cycle 3/10 || Label set size 3000: Test acc 91.15319606637983
Trial 1/3 || Cycle 4/10 || Label set size 4000: Test acc 91.64874001229256
Trial 1/3 || Cycle 5/10 || Label set size 5000: Test acc 91.4259373079287
Trial 1/3 || Cycle 6/10 || Label set size 6000: Test acc 92.03672403196066
Trial 1/3 || Cycle 7/10 || Label set size 7000: Test acc 92.93945912722803
Trial 1/3 || Cycle 8/10 || Label set size 8000: Test acc 92.98171481253841
Trial 1/3 || Cycle 9/10 || Label set size 9000: Test acc 93.42347879532882
Trial 1/3 || Cycle 10/10 || Label set size 10000: Test acc 93.44268592501537
Trial 2/3 || Cycle 1/10 || Label set size 1000: Test acc 81.96066379840197
Trial 2/3 || Cycle 2/10 || Label set size 2000: Test acc 87.78042409342348
Trial 2/3 || Cycle 3/10 || Label set size 3000: Test acc 90.38491087891825
Trial 2/3 || Cycle 4/10 || Label set size 4000: Test acc 91.0379532882606
Trial 2/3 || Cycle 5/10 || Label set size 5000: Test acc 90.98033189920098
Trial 2/3 || Cycle 6/10 || Label set size 6000: Test acc 92.73586355255071
Trial 2/3 || Cycle 7/10 || Label set size 7000: Test acc 92.98939766441303
Trial 2/3 || Cycle 8/10 || Label set size 8000: Test acc 93.51567301782421
Trial 2/3 || Cycle 9/10 || Label set size 9000: Test acc 93.47725875845114
Trial 2/3 || Cycle 10/10 || Label set size 10000: Test acc 93.87292562999386
Trial 3/3 || Cycle 1/10 || Label set size 1000: Test acc 80.9618930547019
Trial 3/3 || Cycle 2/10 || Label set size 2000: Test acc 87.96097111247695
Trial 3/3 || Cycle 3/10 || Label set size 3000: Test acc 90.1659496004917
Trial 3/3 || Cycle 4/10 || Label set size 4000: Test acc 91.86770129071911
Trial 3/3 || Cycle 5/10 || Label set size 5000: Test acc 91.76782421634911
Trial 3/3 || Cycle 6/10 || Label set size 6000: Test acc 92.95098340503995
Trial 3/3 || Cycle 7/10 || Label set size 7000: Test acc 92.85110633066995
Trial 3/3 || Cycle 8/10 || Label set size 8000: Test acc 93.45036877688999
Trial 3/3 || Cycle 9/10 || Label set size 9000: Test acc 93.3159188690842
Trial 3/3 || Cycle 10/10 || Label set size 10000: Test acc 93.51951444376152
