>> Train a Model.>> Finished.Trial 1/5 || Cycle 1/10 || Label set size 1000: Test acc 82.77888752304855
>> Train a Model.>> Finished.Trial 1/5 || Cycle 2/10 || Label set size 2000: Test acc 89.11339889366933
>> Train a Model.>> Finished.Trial 1/5 || Cycle 3/10 || Label set size 3000: Test acc 92.20574677320221
>> Train a Model.>> Finished.Trial 1/5 || Cycle 4/10 || Label set size 4000: Test acc 92.9778733866011
>> Train a Model.>> Finished.Trial 1/5 || Cycle 5/10 || Label set size 5000: Test acc 93.68085433312845
>> Train a Model.>> Finished.Trial 1/5 || Cycle 6/10 || Label set size 6000: Test acc 94.49523663183774
>> Train a Model.>> Finished.Trial 1/5 || Cycle 7/10 || Label set size 7000: Test acc 94.96773202212661
>> Train a Model.>> Finished.Trial 1/5 || Cycle 8/10 || Label set size 8000: Test acc 95.16748617086662
>> Train a Model.>> Finished.Trial 1/5 || Cycle 9/10 || Label set size 9000: Test acc 95.20974185617702
>> Train a Model.>> Finished.Trial 1/5 || Cycle 10/10 || Label set size 10000: Test acc 95.4940073755378
>> Train a Model.>> Finished.Trial 2/5 || Cycle 1/10 || Label set size 1000: Test acc 81.08097725875845
>> Train a Model.>> Finished.Trial 2/5 || Cycle 2/10 || Label set size 2000: Test acc 89.36309157959434
>> Train a Model.>> Finished.Trial 2/5 || Cycle 3/10 || Label set size 3000: Test acc 92.11739397664412
>> Train a Model.>> Finished.Trial 2/5 || Cycle 4/10 || Label set size 4000: Test acc 92.69744929317763
>> Train a Model.>> Finished.Trial 2/5 || Cycle 5/10 || Label set size 5000: Test acc 92.78964351567302
>> Train a Model.>> Finished.Trial 2/5 || Cycle 6/10 || Label set size 6000: Test acc 94.33773816840811
>> Train a Model.>> Finished.Trial 2/5 || Cycle 7/10 || Label set size 7000: Test acc 94.56822372464659
>> Train a Model.>> Finished.Trial 2/5 || Cycle 8/10 || Label set size 8000: Test acc 94.77566072526122
>> Train a Model.>> Finished.Trial 2/5 || Cycle 9/10 || Label set size 9000: Test acc 95.45175169022741
>> Train a Model.>> Finished.Trial 2/5 || Cycle 10/10 || Label set size 10000: Test acc 95.60540872771973
>> Train a Model.>> Finished.Trial 3/5 || Cycle 1/10 || Label set size 1000: Test acc 84.61508912108175
>> Train a Model.>> Finished.Trial 3/5 || Cycle 2/10 || Label set size 2000: Test acc 89.83558696988322
>> Train a Model.>> Finished.Trial 3/5 || Cycle 3/10 || Label set size 3000: Test acc 91.73709280885065
>> Train a Model.>> Finished.Trial 3/5 || Cycle 4/10 || Label set size 4000: Test acc 93.25829748002458
>> Train a Model.>> Finished.Trial 3/5 || Cycle 5/10 || Label set size 5000: Test acc 93.61555009219423
>> Train a Model.>> Finished.Trial 3/5 || Cycle 6/10 || Label set size 6000: Test acc 94.24938537185002
>> Train a Model.>> Finished.Trial 3/5 || Cycle 7/10 || Label set size 7000: Test acc 94.71419791026429
>> Train a Model.>> Finished.Trial 3/5 || Cycle 8/10 || Label set size 8000: Test acc 94.82559926244622
>> Train a Model.>> Finished.Trial 3/5 || Cycle 9/10 || Label set size 9000: Test acc 95.23279041180086
>> Train a Model.>> Finished.Trial 3/5 || Cycle 10/10 || Label set size 10000: Test acc 95.22894898586355
>> Train a Model.>> Finished.Trial 4/5 || Cycle 1/10 || Label set size 1000: Test acc 81.74554394591273
>> Train a Model.>> Finished.Trial 4/5 || Cycle 2/10 || Label set size 2000: Test acc 89.99308543331284
>> Train a Model.>> Finished.Trial 4/5 || Cycle 3/10 || Label set size 3000: Test acc 92.61293792255685
>> Train a Model.>> Finished.Trial 4/5 || Cycle 4/10 || Label set size 4000: Test acc 93.46957590657652
>> Train a Model.>> Finished.Trial 4/5 || Cycle 5/10 || Label set size 5000: Test acc 93.81146281499693
>> Train a Model.>> Finished.Trial 4/5 || Cycle 6/10 || Label set size 6000: Test acc 94.88706207744315
>> Train a Model.>> Finished.Trial 4/5 || Cycle 7/10 || Label set size 7000: Test acc 95.02919483712354
>> Train a Model.>> Finished.Trial 4/5 || Cycle 8/10 || Label set size 8000: Test acc 94.85633066994468
>> Train a Model.>> Finished.Trial 4/5 || Cycle 9/10 || Label set size 9000: Test acc 95.74370006146282
>> Train a Model.>> Finished.Trial 4/5 || Cycle 10/10 || Label set size 10000: Test acc 95.5900430239705
>> Train a Model.>> Finished.Trial 5/5 || Cycle 1/10 || Label set size 1000: Test acc 83.75460971112477
>> Train a Model.>> Finished.Trial 5/5 || Cycle 2/10 || Label set size 2000: Test acc 90.35033804548249
>> Train a Model.>> Finished.Trial 5/5 || Cycle 3/10 || Label set size 3000: Test acc 92.65135218192994
>> Train a Model.>> Finished.Trial 5/5 || Cycle 4/10 || Label set size 4000: Test acc 93.41579594345421
>> Train a Model.>> Finished.Trial 5/5 || Cycle 5/10 || Label set size 5000: Test acc 93.36969883220651
>> Train a Model.>> Finished.Trial 5/5 || Cycle 6/10 || Label set size 6000: Test acc 94.7180393362016
>> Train a Model.>> Finished.Trial 5/5 || Cycle 7/10 || Label set size 7000: Test acc 94.68346650276582
>> Train a Model.>> Finished.Trial 5/5 || Cycle 8/10 || Label set size 8000: Test acc 95.01382913337432
>> Train a Model.>> Finished.Trial 5/5 || Cycle 9/10 || Label set size 9000: Test acc 95.10218192993239
>> Train a Model.>> Finished.Trial 5/5 || Cycle 10/10 || Label set size 10000: Test acc 95.42102028272895
time: 64782s
