>> Train a Model.>> Finished.Trial 1/5 || Cycle 1/10 || Label set size 1000: Test acc 83.6240012292563
>> Train a Model.>> Finished.Trial 1/5 || Cycle 2/10 || Label set size 2200: Test acc 89.83558696988322
>> Train a Model.>> Finished.Trial 1/5 || Cycle 3/10 || Label set size 3400: Test acc 92.58220651505839
>> Train a Model.>> Finished.Trial 1/5 || Cycle 4/10 || Label set size 4600: Test acc 93.700061462815
>> Train a Model.>> Finished.Trial 1/5 || Cycle 5/10 || Label set size 5800: Test acc 94.24554394591273
>> Train a Model.>> Finished.Trial 1/5 || Cycle 6/10 || Label set size 7000: Test acc 94.8140749846343
>> Train a Model.>> Finished.Trial 1/5 || Cycle 7/10 || Label set size 8200: Test acc 94.46834665027659
>> Train a Model.>> Finished.Trial 1/5 || Cycle 8/10 || Label set size 9400: Test acc 95.11754763368162
>> Train a Model.>> Finished.Trial 1/5 || Cycle 9/10 || Label set size 10600: Test acc 95.37492317148126
>> Train a Model.>> Finished.Trial 1/5 || Cycle 10/10 || Label set size 11800: Test acc 95.40949600491703
>> Train a Model.>> Finished.Trial 2/5 || Cycle 1/10 || Label set size 1000: Test acc 84.74569760295022
>> Train a Model.>> Finished.Trial 2/5 || Cycle 2/10 || Label set size 2200: Test acc 90.3080823601721
>> Train a Model.>> Finished.Trial 2/5 || Cycle 3/10 || Label set size 3400: Test acc 93.03165334972341
>> Train a Model.>> Finished.Trial 2/5 || Cycle 4/10 || Label set size 4600: Test acc 93.35049170251997
>> Train a Model.>> Finished.Trial 2/5 || Cycle 5/10 || Label set size 5800: Test acc 93.9459127228027
>> Train a Model.>> Finished.Trial 2/5 || Cycle 6/10 || Label set size 7000: Test acc 94.54901659496005
>> Train a Model.>> Finished.Trial 2/5 || Cycle 7/10 || Label set size 8200: Test acc 94.26090964966195
>> Train a Model.>> Finished.Trial 2/5 || Cycle 8/10 || Label set size 9400: Test acc 94.9139520590043
>> Train a Model.>> Finished.Trial 2/5 || Cycle 9/10 || Label set size 10600: Test acc 95.45175169022741
>> Train a Model.>> Finished.Trial 2/5 || Cycle 10/10 || Label set size 11800: Test acc 95.48248309772588
>> Train a Model.>> Finished.Trial 3/5 || Cycle 1/10 || Label set size 1000: Test acc 86.10940381069453
>> Train a Model.>> Finished.Trial 3/5 || Cycle 2/10 || Label set size 2200: Test acc 90.11216963736939
>> Train a Model.>> Finished.Trial 3/5 || Cycle 3/10 || Label set size 3400: Test acc 92.43239090350338
>> Train a Model.>> Finished.Trial 3/5 || Cycle 4/10 || Label set size 4600: Test acc 93.77304855562384
>> Train a Model.>> Finished.Trial 3/5 || Cycle 5/10 || Label set size 5800: Test acc 93.75
>> Train a Model.>> Finished.Trial 3/5 || Cycle 6/10 || Label set size 7000: Test acc 94.69114935464044
>> Train a Model.>> Finished.Trial 3/5 || Cycle 7/10 || Label set size 8200: Test acc 94.69114935464044
>> Train a Model.>> Finished.Trial 3/5 || Cycle 8/10 || Label set size 9400: Test acc 95.42102028272895
>> Train a Model.>> Finished.Trial 3/5 || Cycle 9/10 || Label set size 10600: Test acc 95.41333743085433
>> Train a Model.>> Finished.Trial 3/5 || Cycle 10/10 || Label set size 11800: Test acc 95.48248309772588
>> Train a Model.>> Finished.Trial 4/5 || Cycle 1/10 || Label set size 1000: Test acc 84.22326367547633
>> Train a Model.>> Finished.Trial 4/5 || Cycle 2/10 || Label set size 2200: Test acc 90.2120467117394
>> Train a Model.>> Finished.Trial 4/5 || Cycle 3/10 || Label set size 3400: Test acc 92.28641671788569
>> Train a Model.>> Finished.Trial 4/5 || Cycle 4/10 || Label set size 4600: Test acc 93.4580516287646
>> Train a Model.>> Finished.Trial 4/5 || Cycle 5/10 || Label set size 5800: Test acc 93.69622003687769
>> Train a Model.>> Finished.Trial 4/5 || Cycle 6/10 || Label set size 7000: Test acc 94.69114935464044
>> Train a Model.>> Finished.Trial 4/5 || Cycle 7/10 || Label set size 8200: Test acc 94.63736939151813
>> Train a Model.>> Finished.Trial 4/5 || Cycle 8/10 || Label set size 9400: Test acc 95.02919483712354
>> Train a Model.>> Finished.Trial 4/5 || Cycle 9/10 || Label set size 10600: Test acc 95.059926244622
>> Train a Model.>> Finished.Trial 4/5 || Cycle 10/10 || Label set size 11800: Test acc 95.41333743085433
>> Train a Model.>> Finished.Trial 5/5 || Cycle 1/10 || Label set size 1000: Test acc 84.25015365703749
>> Train a Model.>> Finished.Trial 5/5 || Cycle 2/10 || Label set size 2200: Test acc 89.88168408113091
>> Train a Model.>> Finished.Trial 5/5 || Cycle 3/10 || Label set size 3400: Test acc 92.08282114320836
>> Train a Model.>> Finished.Trial 5/5 || Cycle 4/10 || Label set size 4600: Test acc 93.55024585125999
>> Train a Model.>> Finished.Trial 5/5 || Cycle 5/10 || Label set size 5800: Test acc 94.14566687154272
>> Train a Model.>> Finished.Trial 5/5 || Cycle 6/10 || Label set size 7000: Test acc 94.63736939151813
>> Train a Model.>> Finished.Trial 5/5 || Cycle 7/10 || Label set size 8200: Test acc 94.78334357713584
>> Train a Model.>> Finished.Trial 5/5 || Cycle 8/10 || Label set size 9400: Test acc 95.23279041180086
>> Train a Model.>> Finished.Trial 5/5 || Cycle 9/10 || Label set size 10600: Test acc 95.3979717271051
>> Train a Model.>> Finished.Trial 5/5 || Cycle 10/10 || Label set size 11800: Test acc 95.52858020897357
time: 69761s
