>> Train a Model.>> Finished.Trial 1/5 || Cycle 1/10 || Label set size 1000: Test acc 83.6240012292563
>> Train a Model.>> Finished.Trial 1/5 || Cycle 2/10 || Label set size 2500: Test acc 90.56161647203442
>> Train a Model.>> Finished.Trial 1/5 || Cycle 3/10 || Label set size 4000: Test acc 93.01244622003688
>> Train a Model.>> Finished.Trial 1/5 || Cycle 4/10 || Label set size 5500: Test acc 93.20067609096496
>> Train a Model.>> Finished.Trial 1/5 || Cycle 5/10 || Label set size 7000: Test acc 93.8421942224954
>> Train a Model.>> Finished.Trial 1/5 || Cycle 6/10 || Label set size 8500: Test acc 94.84480639213275
>> Train a Model.>> Finished.Trial 1/5 || Cycle 7/10 || Label set size 10000: Test acc 94.98309772587585
>> Train a Model.>> Finished.Trial 1/5 || Cycle 8/10 || Label set size 11500: Test acc 94.96004917025199
>> Train a Model.>> Finished.Trial 1/5 || Cycle 9/10 || Label set size 13000: Test acc 95.29041180086048
>> Train a Model.>> Finished.Trial 1/5 || Cycle 10/10 || Label set size 14500: Test acc 94.9638905961893
>> Train a Model.>> Finished.Trial 2/5 || Cycle 1/10 || Label set size 1000: Test acc 85.59081130915796
>> Train a Model.>> Finished.Trial 2/5 || Cycle 2/10 || Label set size 2500: Test acc 90.43869084204057
>> Train a Model.>> Finished.Trial 2/5 || Cycle 3/10 || Label set size 4000: Test acc 92.16349108789183
>> Train a Model.>> Finished.Trial 2/5 || Cycle 4/10 || Label set size 5500: Test acc 93.3082360172096
>> Train a Model.>> Finished.Trial 2/5 || Cycle 5/10 || Label set size 7000: Test acc 94.16871542716656
>> Train a Model.>> Finished.Trial 2/5 || Cycle 6/10 || Label set size 8500: Test acc 94.69499078057775
>> Train a Model.>> Finished.Trial 2/5 || Cycle 7/10 || Label set size 10000: Test acc 95.03687768899816
>> Train a Model.>> Finished.Trial 2/5 || Cycle 8/10 || Label set size 11500: Test acc 94.96004917025199
>> Train a Model.>> Finished.Trial 2/5 || Cycle 9/10 || Label set size 13000: Test acc 95.47480024585126
>> Train a Model.>> Finished.Trial 2/5 || Cycle 10/10 || Label set size 14500: Test acc 95.76290719114935
>> Train a Model.>> Finished.Trial 3/5 || Cycle 1/10 || Label set size 1000: Test acc 83.17839582052858
>> Train a Model.>> Finished.Trial 3/5 || Cycle 2/10 || Label set size 2500: Test acc 90.20436385986478
>> Train a Model.>> Finished.Trial 3/5 || Cycle 3/10 || Label set size 4000: Test acc 92.26720958819914
>> Train a Model.>> Finished.Trial 3/5 || Cycle 4/10 || Label set size 5500: Test acc 93.58097725875845
>> Train a Model.>> Finished.Trial 3/5 || Cycle 5/10 || Label set size 7000: Test acc 94.48755377996312
>> Train a Model.>> Finished.Trial 3/5 || Cycle 6/10 || Label set size 8500: Test acc 94.83712354025815
>> Train a Model.>> Finished.Trial 3/5 || Cycle 7/10 || Label set size 10000: Test acc 94.99846342962508
>> Train a Model.>> Finished.Trial 3/5 || Cycle 8/10 || Label set size 11500: Test acc 95.38260602335588
>> Train a Model.>> Finished.Trial 3/5 || Cycle 9/10 || Label set size 13000: Test acc 95.75906576521204
>> Train a Model.>> Finished.Trial 3/5 || Cycle 10/10 || Label set size 14500: Test acc 95.9818684695759
>> Train a Model.>> Finished.Trial 4/5 || Cycle 1/10 || Label set size 1000: Test acc 83.84680393362017
>> Train a Model.>> Finished.Trial 4/5 || Cycle 2/10 || Label set size 2500: Test acc 90.70759065765212
>> Train a Model.>> Finished.Trial 4/5 || Cycle 3/10 || Label set size 4000: Test acc 92.48617086662568
>> Train a Model.>> Finished.Trial 4/5 || Cycle 4/10 || Label set size 5500: Test acc 93.799938537185
>> Train a Model.>> Finished.Trial 4/5 || Cycle 5/10 || Label set size 7000: Test acc 94.43377381684081
>> Train a Model.>> Finished.Trial 4/5 || Cycle 6/10 || Label set size 8500: Test acc 94.5759065765212
>> Train a Model.>> Finished.Trial 4/5 || Cycle 7/10 || Label set size 10000: Test acc 94.92547633681623
>> Train a Model.>> Finished.Trial 4/5 || Cycle 8/10 || Label set size 11500: Test acc 95.2519975414874
>> Train a Model.>> Finished.Trial 4/5 || Cycle 9/10 || Label set size 13000: Test acc 95.31346035648433
>> Train a Model.>> Finished.Trial 4/5 || Cycle 10/10 || Label set size 14500: Test acc 95.22894898586355
>> Train a Model.>> Finished.Trial 5/5 || Cycle 1/10 || Label set size 1000: Test acc 83.53564843269822
>> Train a Model.>> Finished.Trial 5/5 || Cycle 2/10 || Label set size 2500: Test acc 90.41948371235402
>> Train a Model.>> Finished.Trial 5/5 || Cycle 3/10 || Label set size 4000: Test acc 92.26720958819914
>> Train a Model.
