>> Train a Model.>> Finished.Trial 1/3 || Cycle 1/7 || Label set size 5000: Test acc 42.4
>> Train a Model.>> Finished.Trial 1/3 || Cycle 2/7 || Label set size 7500: Test acc 50.02
>> Train a Model.>> Finished.Trial 1/3 || Cycle 3/7 || Label set size 10000: Test acc 54.87
>> Train a Model.>> Finished.Trial 1/3 || Cycle 4/7 || Label set size 12500: Test acc 59.24
>> Train a Model.>> Finished.Trial 1/3 || Cycle 5/7 || Label set size 15000: Test acc 62.1
>> Train a Model.>> Finished.Trial 1/3 || Cycle 6/7 || Label set size 17500: Test acc 64.93
>> Train a Model.>> Finished.Trial 1/3 || Cycle 7/7 || Label set size 20000: Test acc 66.64
>> Train a Model.>> Finished.Trial 2/3 || Cycle 1/7 || Label set size 5000: Test acc 40.35
>> Train a Model.>> Finished.Trial 2/3 || Cycle 2/7 || Label set size 7500: Test acc 49.18
>> Train a Model.>> Finished.Trial 2/3 || Cycle 3/7 || Label set size 10000: Test acc 54.85
>> Train a Model.>> Finished.Trial 2/3 || Cycle 4/7 || Label set size 12500: Test acc 57.93
>> Train a Model.>> Finished.Trial 2/3 || Cycle 5/7 || Label set size 15000: Test acc 61.13
>> Train a Model.>> Finished.Trial 2/3 || Cycle 6/7 || Label set size 17500: Test acc 64.06
>> Train a Model.>> Finished.Trial 2/3 || Cycle 7/7 || Label set size 20000: Test acc 66.19
>> Train a Model.>> Finished.Trial 3/3 || Cycle 1/7 || Label set size 5000: Test acc 41.0
>> Train a Model.>> Finished.Trial 3/3 || Cycle 2/7 || Label set size 7500: Test acc 48.97
>> Train a Model.>> Finished.Trial 3/3 || Cycle 3/7 || Label set size 10000: Test acc 54.33
>> Train a Model.>> Finished.Trial 3/3 || Cycle 4/7 || Label set size 12500: Test acc 58.9
>> Train a Model.>> Finished.Trial 3/3 || Cycle 5/7 || Label set size 15000: Test acc 62.23
>> Train a Model.>> Finished.Trial 3/3 || Cycle 6/7 || Label set size 17500: Test acc 63.86
>> Train a Model.>> Finished.Trial 3/3 || Cycle 7/7 || Label set size 20000: Test acc 66.26
time: 65938s
